addr,chargeTp,cpId,cpNm,cpStat,cpTp,csId,csNm,lat,longi,statUpdatedatetime
"경기도 용인시 수지구 심곡로 16 (상현동, 성복역금호베스트빌) 제2주차장 B1F 58",1,5399,완속01,1,03,1845,서원마을금호베스트빌5단지아파트,37.3067360352562,127.078368266103,
"경기도 용인시 수지구 심곡로 16 (상현동, 성복역금호베스트빌) 제2주차장 B1F 58",2,5398,급속01,1,10,1845,서원마을금호베스트빌5단지아파트,37.3067360352562,127.078368266103,
"전라남도 고흥군 고흥읍 고흥로 1887 (남계리, 한국전력공사고흥지사) (실외완전노출)지사우측, 뒤편 주차장",1,567,완속03,1,03,88,고흥지사,34.617205,127.29211,
"전라남도 고흥군 고흥읍 고흥로 1887 (남계리, 한국전력공사고흥지사) (실외완전노출)지사우측, 뒤편 주차장",1,248,완속02,1,03,88,고흥지사,34.617205,127.29211,
"전라남도 고흥군 고흥읍 고흥로 1887 (남계리, 한국전력공사고흥지사) (실외완전노출)지사우측, 뒤편 주차장",1,247,완속01,1,03,88,고흥지사,34.617205,127.29211,
"전라남도 고흥군 고흥읍 고흥로 1887 (남계리, 한국전력공사고흥지사) (실외완전노출)지사우측, 뒤편 주차장",1,1000,완속04,1,03,88,고흥지사,34.617205,127.29211,
충청북도 청주시 서원구 남이면 문동길 147 (척산리) 청주전력지사 내 차고주차장,1,11148,완속01,1,03,4819,청주전력지사,36.5534310487009,127.46031605865691,
서울 중구 소공로 46 지하주차장 7층,1,1956,완속01,4,03,596,쌍용남산플래티넘 아파트,37.5594031619007,126.983218672682,
서울 중구 소공로 46 지하주차장 7층,2,1955,급속01,4,10,596,쌍용남산플래티넘 아파트,37.5594031619007,126.983218672682,
"경기도 파주시 가온로 67 (목동동, 해솔마을 5단지 삼부르네상스 아파트) 지하2층 주차장 B068",1,2809,완속04,2,03,910,해솔마을5단지삼부르네상스 아파트,37.7228284048318,126.744354725444,
"경기도 파주시 가온로 67 (목동동, 해솔마을 5단지 삼부르네상스 아파트) 지하2층 주차장 B068",1,2808,완속03,1,03,910,해솔마을5단지삼부르네상스 아파트,37.7228284048318,126.744354725444,
"경기도 파주시 가온로 67 (목동동, 해솔마을 5단지 삼부르네상스 아파트) 지하2층 주차장 B068",1,2807,완속02,1,03,910,해솔마을5단지삼부르네상스 아파트,37.7228284048318,126.744354725444,
"경기도 파주시 가온로 67 (목동동, 해솔마을 5단지 삼부르네상스 아파트) 지하2층 주차장 B068",1,2806,완속01,1,03,910,해솔마을5단지삼부르네상스 아파트,37.7228284048318,126.744354725444,
"경기도 파주시 가온로 67 (목동동, 해솔마을 5단지 삼부르네상스 아파트) 지하2층 주차장 B068",2,2805,급속01,1,10,910,해솔마을5단지삼부르네상스 아파트,37.7228284048318,126.744354725444,
"경기도 부천시 상동로 57 (상동, 행복한마을 서해그랑블) 지하1층 기둥번호A47",1,8629,완속03,1,03,3351,행복한마을 서해아파트,37.502982,126.750553,
"경기도 부천시 상동로 57 (상동, 행복한마을 서해그랑블) 지하1층 기둥번호A47",1,8628,완속02,1,03,3351,행복한마을 서해아파트,37.502982,126.750553,
"경기도 부천시 상동로 57 (상동, 행복한마을 서해그랑블) 지하1층 기둥번호A47",1,8627,완속01,1,03,3351,행복한마을 서해아파트,37.502982,126.750553,
"경기도 광주시 순암로36번길 87 (역동, 이편한세상 광주역 3단지) 지하1층 주차장 304동 입구앞",1,4010,완속01,1,03,1333,e편한세상광주역3단지,37.3988712427552,127.24522232157,
"경기도 광주시 순암로36번길 87 (역동, 이편한세상 광주역 3단지) 지하1층 주차장 304동 입구앞",2,4009,급속01,1,10,1333,e편한세상광주역3단지,37.3988712427552,127.24522232157,
"강원특별자치도 양구군 양구읍 청춘로 49 (상리, 해링턴플레이스) 107동 지하주차장",2,8339,급속01,7,10,3214,해링턴플레이스,38.099404,127.99106,
"충청북도 청주시 청원구 율량로 135 (주성동, 대원칸타빌3차아파트) 지하3층주차장 C20 주차 4면",1,3247,완속03,1,02,1061,율량대원칸타빌3차,36.670523,127.499872,
"충청북도 청주시 청원구 율량로 135 (주성동, 대원칸타빌3차아파트) 지하3층주차장 C20 주차 4면",1,3246,완속02,2,02,1061,율량대원칸타빌3차,36.670523,127.499872,
"충청북도 청주시 청원구 율량로 135 (주성동, 대원칸타빌3차아파트) 지하3층주차장 C20 주차 4면",1,3245,완속01,1,02,1061,율량대원칸타빌3차,36.670523,127.499872,
"충청북도 청주시 청원구 율량로 135 (주성동, 대원칸타빌3차아파트) 지하3층주차장 C20 주차 4면",2,3244,급속01,1,10,1061,율량대원칸타빌3차,36.670523,127.499872,
"전라남도 완도군 완도읍 개포로62번길 6 (군내리, 한국전력공사) (실외완전노출) 지상 주차장 우측",2,1009,급속01,6,10,318,완도지사,34.3167307528526,126.746285007459,
서울특별시 성동구 금호로 20 (금호동4가) 주차장,2,11145,급속01,1,07,4810,금호스포츠센터,37.545744608586816,127.02519195294377,
부산광역시 동구 중앙대로260번길 11 (초량동) 지하주차장,2,11235,급속01,1,07,4817,부산과학체험관,35.12059163408626,129.04448173629785,
"서울특별시 중구 다산로 32 1동,21동,31동 1동21동31동 지하3층주차장",1,1954,완속06,1,03,595,남산타운 아파트,37.546659,127.006507,
"서울특별시 중구 다산로 32 1동,21동,31동 1동21동31동 지하3층주차장",1,1953,완속05,6,03,595,남산타운 아파트,37.546659,127.006507,
"서울특별시 중구 다산로 32 1동,21동,31동 1동21동31동 지하3층주차장",1,1952,완속04,1,03,595,남산타운 아파트,37.546659,127.006507,
"서울특별시 중구 다산로 32 1동,21동,31동 1동21동31동 지하3층주차장",1,1951,완속03,6,03,595,남산타운 아파트,37.546659,127.006507,
"서울특별시 중구 다산로 32 1동,21동,31동 1동21동31동 지하3층주차장",1,1950,완속02,1,03,595,남산타운 아파트,37.546659,127.006507,
"서울특별시 중구 다산로 32 1동,21동,31동 1동21동31동 지하3층주차장",1,1949,완속01,1,03,595,남산타운 아파트,37.546659,127.006507,
"서울특별시 중구 다산로 32 1동,21동,31동 1동21동31동 지하3층주차장",2,1948,급속02,1,10,595,남산타운 아파트,37.546659,127.006507,
"서울특별시 중구 다산로 32 1동,21동,31동 1동21동31동 지하3층주차장",2,1947,급속01,7,10,595,남산타운 아파트,37.546659,127.006507,
